,12918
 lung cancer,399
 Lung cancer,296
 non-small cell lung cancer,194
 NSCLC,169
 Non-small cell lung cancer,139
 prognosis,100
NSCLC,97
 metastasis,91
 Prognosis,78
 lung adenocarcinoma,67
 cancer,63
Cancer,59
Lung cancer,58
 non-small-cell lung cancer,55
 apoptosis,51
EGFR,48
 Immunotherapy,48
 chemotherapy,45
 Metastasis,44
 immunotherapy,43
 Survival,43
 breast cancer,40
 Surgery,40
 EGFR,38
 targeted therapy,37
Adenocarcinoma,36
 Lung neoplasms,34
 Non-small-cell lung cancer,34
 surgery,34
 proliferation,33
 Cancer,33
 Lung adenocarcinoma,33
 PD-L1,33
 survival,33
 lung,32
Breast cancer,30
 epidermal growth factor receptor,30
PubChem CID,30
 radiotherapy,30
Apoptosis,30
ALK,30
 small cell lung cancer,29
 biomarker,29
Chemotherapy,28
 meta-analysis,27
 invasion,27
cancer,26
 inflammation,25
 immunohistochemistry,24
EMT,23
 Radiotherapy,23
 p53,22
 Lung,22
 Epidermal growth factor receptor,22
 migration,21
 non-small cell lung cancer ,21
 Mortality,21
 Tyrosine kinase inhibitor,21
 prostate cancer,21
 erlotinib,21
COPD,21
 melanoma,20
 Meta-analysis,20
 Gefitinib,20
Biomarker,20
 PD-1,20
 Targeted therapy,19
 Apoptosis,19
 Erlotinib,19
 Chemotherapy,19
VATS,19
 gefitinib,19
Non-small cell lung cancer,18
 EMT,18
 pembrolizumab,18
 osimertinib,18
 Colorectal cancer,18
 Small cell lung cancer,17
 mutation,17
EGFR mutation,17
 EGFR mutation,17
lung cancer,17
 lung neoplasms,17
 colorectal cancer,16
CT,16
 crizotinib,16
 drug resistance,16
 Computed tomography,16
COVID-19,16
 PET,15
 biomarkers,15
 cisplatin,15
 Cytotoxicity,15
 Screening,15
angiogenesis,15
 Poly,15
 microRNA,15
 overall survival,15
 smoking,15
 Nivolumab,15
 Pemetrexed,15
 paclitaxel,15
 autophagy,14
 pemetrexed,14
 diagnosis,14
 Overall survival,14
 Toxicity,14
Brain metastasis,14
 VEGF,14
 PET/CT,14
 Invasion,14
 Immunohistochemistry,14
 Melanoma,14
 mesothelioma,14
 liquid biopsy,14
 SCLC,14
 ROS,14
 next-generation sequencing,13
Epidermal growth factor receptor,13
Brain metastases,13
Biomarkers,13
 epidemiology,13
 tyrosine kinase inhibitor,13
 Lobectomy,13
Lobectomy,13
 Proliferation,13
 Lung cancer screening,13
chemotherapy,13
 mortality,13
 nivolumab,13
 Crizotinib,13
 TCGA,13
 brain metastases,13
 hypoxia,13
 nanoparticles,12
 tumor,12
 Lung metastasis,12
 Pembrolizumab,12
 proteomics,12
 tumor microenvironment,12
 Epidemiology,12
II,12
Afatinib,12
Carcinoma,12
 cytotoxicity,12
 gastric cancer,12
 Mesothelioma,12
 Paclitaxel,12
Autophagy,12
Computed tomography,12
 Smoking,12
 Non–small cell lung cancer,12
 screening,11
 T790M,11
 EGFR-TKI,11
breast cancer,11
 SBRT,11
 immune checkpoint inhibitors,11
 Radiation,11
 Recurrence,11
biomarker,11
 ovarian cancer,11
 Neoplasms,11
 KRAS,11
 Inflammation,11
 angiogenesis,11
 Chronic obstructive pulmonary disease,10
 squamous cell carcinoma,10
 Treatment,10
PET,10
 adenocarcinoma,10
 Prostate cancer,10
 miRNA,10
 polymorphism,10
 Non–small-cell lung cancer,10
adenocarcinoma,10
 nonsmall cell lung cancer,10
 oxidative stress,10
 epithelial-mesenchymal transition,10
 cancer stem cells,10
Angiogenesis,10
Colorectal cancer,10
 VATS,10
 Cisplatin,10
 MET,10
Lung adenocarcinoma,10
 tyrosine kinase inhibitors,10
 Risk factors,10
 recurrence,10
 review,10
 non-small-cell lung,10
 Tyrosine kinase inhibitors,10
 Safety,10
SCLC,10
 lobectomy,10
 COVID-19,10
biomarkers,10
 Pneumonectomy,10
 osteosarcoma,10
 Survival analysis,10
 malignant pleural mesothelioma,10
 resistance,10
 Diagnosis,10
